CHARACTER_ID,CHARACTER_NAME,CHARACTER_CLASS,ITEM_NAME,ITEM_TYPE,ITEM_PRICE,ITEM_RARITY
1,ccaush0,Hero,""Lapis"",""Map"",87755,5
2,egotfrey1,Theif,""Seed"",""Bow"",51954,5
2,egotfrey1,Theif,""Energy Typhoon"",""Key"",209213,3
2,egotfrey1,Theif,""Dinoblade"",""Map"",103290,1
2,egotfrey1,Theif,""Energy Typhoon"",""Key"",251727,4
2,egotfrey1,Theif,""Extortion of Vulnerabilities"",""Gem"",221274,4
3,umacnalley2,Spellcaster,""Dinoblade"",""Key"",106877,1
3,umacnalley2,Spellcaster,""Energy Typhoon"",""Cape"",63209,1
3,umacnalley2,Spellcaster,""Stone Arm"",""Armor"",81351,3
4,cstribbling3,Blade Dancer,""Silver Sword"",""Gem"",15535,5